"title","logo","longitude","latitude"
"Vighignolo (Settimo Milanese) &dash; Banca del Tempo L&#8217;Attimo Fuggente","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/03/Logo-Attimo-Fuggente.jpg?resize=150%2C150Via Aldo Moro 5, 20019 Vighignolo (Settimo Milanese)",9.041878,45.496989
"Lugo &dash; Banca del Tempo e delle Competenze di Lugo e Bassa Romagna","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/03/Logo-Lugo.jpg?resize=150%2C150",11.905321,44.415768
"Genova &dash;  Associazione Il Moltiplicatore: Banca del Tempo NAIF-M3 (Nascono i fiori &dash; Municipio3)","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/02/Logo-Il-moltiplicatore-Naif.jpg?resize=150%2C150dalle ore 10.00 alle ore 12.00",8.959070,44.408162
"Vercelli &dash; Banca del Tempo Vita Activa","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/02/Logo-Vercelli.jpg?resize=150%2C150dalle ore 17:30 alle ore 19:00",8.417984,45.319750
"Corsano &dash; Banca del Tempo di Corsano","Via della Libertà 2, c/o Comune di Corsano, 73033 Corsano",18.368393,39.888633
"Grosseto &dash; Banca del Tempo di Grosseto ARS maremma","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/02/Logo-Grosseto-ARS-maremma.jpg?resize=150%2C150",11.121857,42.781448
"Fucecchio &dash; Banca del Tempo di Fucecchio","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150dalle ore 18:30 alle ore 19:30",10.810161,43.728704
"Vinovo &dash; Banca del Tempo di Vinovo","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Vinovo.jpg?resize=150%2C150",7.631900,44.949170
"Verbania &dash; Banca del Tempo di Verbania Wolf","Via Vittorio Veneto 135, 28922 Verbania",8.569724,45.931051
"Torre Pellice &dash; Banca del Tempo di Val Pellice","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150",7.220104,44.821808
"Torino &dash; Banca del Tempo di Torino – IV Circ.","Via Principi d&#8217;Acaja 12, 10143 Torino",7.664551,45.076583
"Torino &dash; Banca del Tempo di Torino &dash; II Circ. In Contro Corrente","Via Rubino 45, c/o Cascina Roccafranca, 10137 Torino",7.623597,45.040024
"Settimo Torinese &dash; Banca del Tempo di Settimo Torinese","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150",7.775515,45.137107
"Rosta &dash; Banca del Tempo di Rosta","Via Bastone 36, 10090 Rosta",7.469900,45.069050
"Robassomero &dash; Banca del Tempo di Robassomero","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Robassomero.jpg?resize=150%2C150dalle ore 09:30 alle ore 11:30",7.572698,45.199326
"Pino Torinese &dash; Banca del Tempo di Pino Torinese","Strada San Felice 2, c/o Centro Pari Dispari Comune, 10025 Pino Torinese",7.772893,45.043577
"Pinerolo &dash; Banca del Tempo di Pinerolo","Viale della Rimembranza 65/A, 10064 Pinerolo",7.332847,44.892838
"Oulx &dash; Banca del Tempo di Oulx","Piazza Garambois 1, 10056 Oulx",6.832810,45.031020
"Ovada &dash; Banca del Tempo l&#8217;Idea","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-LIdea.jpg?resize=150%2C150dalle ore 21.00 alle ore 23.00 presso la sede in Piazza Cereseto 7<br />",8.639676,44.636157
"Oleggio &dash; Banca del Tempo di Oleggio","Viale Paganini 5, 28047 Oleggio",8.637490,45.599800
"Novello &dash; Banca del Tempo Dai Tempo al Tempo","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150",7.927617,44.588010
"Nichelino &dash; Banca del Tempo di Nichelino","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Nichelino.jpg?resize=150%2C150",7.649758,44.995860
"Moncalieri &dash; Banca del Tempo di Moncalieri","Via Fiume 17/bis, 10024 Moncalieri",7.661290,45.009390
"Monastero Bormida &dash; Banca del Tempo 5 Torri","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-5-Torri.jpg?resize=150%2C150",8.325237,44.648389
"Ivrea &dash; Banca del Tempo di Ivrea","Via Dora Baltea 1, 10015 Ivrea",7.874630,45.462900
"Gravere &dash; Banca del Tempo di Gravere","Via Europa 2, 10050 Gravere",7.018051,45.126197
"Cumiana &dash; Banca del Tempo di Cumiana","<strong>Telefono: </strong> 011 905 93 02<br />bdt.cuniana@libero.it<br /> Via Caduti della Libertà 29, 10040 Cumiana",7.372091,44.983523
"Chieri &dash; Banca del Tempo di Chieri","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Chieri.jpg?resize=150%2C150",7.819983,45.010628
"Ciriè &dash; Banca del Tempo di Ciriè","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Ciriè.jpg?resize=150%2C150dalle ore 10:00 alle ore 11:00",7.606892,45.235781
"Candelo &dash; Banca del Tempo di Candelo","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Candelo.jpg?resize=150%2C150",8.110865,45.545578
"Brichierasio &dash; Banca del Tempo di Brichierasio","Michele Savalli<br />bdtbrichie@yahoo.it<br /> Via Vittorio Emanuele 79b, c/o biblioteca, 10060 Brichierasio",7.303140,44.824050
"Borgaro Torinese &dash; Banca del Tempo di Borgaro Torinese","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150",7.625689,45.134727
".Coordinamento Banche del Tempo di Torino","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Coordinamento-Torino.jpg?resize=150%2C150",7.663437,45.089901
"Seriate &dash; Banca del Tempo Seriate","<strong>Telefono: </strong> 035 423 681<br /> 24068 Seriate",9.721701,45.685418
"Pisogne &dash; Banca del Tempo Pisogne Brescia","<strong>Telefono: </strong> 036 487 446<br /> Via Valcamonica, 25055 Pisogne",10.109060,45.805518
"Pavia &dash; Banca del Tempo Pavia KAIRES","info@marrachekream.it<br /> Piazza Municipio 2, c/o Municipio, 27100 Pavia",9.159681,45.184613
"Marmirolo &dash; Associazione Tempi Moderni"," Piazza Allende 1, 46045 Marmirolo",10.758633,45.220073
"Marcheno &dash; Banca del Tempo Marcheno Brescia","<strong>Telefono: </strong> 030 896 03 05<br /> Via Rinaldini 5, 25060 Marcheno",10.211185,45.704681
"Como &dash; Associazione Comasca del Tempo","<strong>Telefono: </strong> 031 270 320<br /> 22100 Como",9.085176,45.808060
"Cenate di Sotto &dash; Banca del Tempo Alice","<strong>Telefono: </strong> 035 425 09 73<br />bdtalice@arcibergamo.it<br /> 24069 Cenate di Sotto",9.825262,45.698853
"Castel Goffredo &dash; Banca del Tempo Castel Goffredo","<strong>Telefono: </strong> 037 677 227<br /> 22065 Castel Goffredo",10.432569,45.269532
"Cassolnovo &dash; Associazione un&#8217;ora sola ti vorrei","<strong>Telefono: </strong> 340 798 60 60<br />onlusscassolnovo@libero.it<br /> <p>27023 Cassolnovo",8.809174,45.363040
"Brianza &dash; Banca del Tempo Cassago Brianza","<strong>Telefono: </strong> 399 211 009<br /> 23893 Cassago Brianza",9.292458,45.738925
"Capriano del Colle &dash; Banca del Tempo Capriano Del Colle","<strong>Telefono: </strong> 030 974 73 84<p><strong>Sito Internet:</strong> <p>www.comune.capriano.bs.it/associazioni<br /> Via Falcone 27, 25020 Capriano del Colle",10.134249,45.454629
"Brescia &dash; Associazione La Sveglia &dash; Brescia","<strong>Telefono: </strong> 030 354 45 50<br />roberto@dracmanet.com<br /> Traversa XII 58/A, 25125 Brescia",10.189759,45.514226
"Brescia &dash; Associazione La Clessidra &dash; Brescia","<strong>Telefono: </strong> 030 372 371<br /> Via Giovanni Cimabue 18/B, 25134 Brescia",10.257988,45.516337
"Bovezzo &dash; Associazione Bottega del Tempo &dash; Bovezzo","<strong>Telefono: </strong> 030 211 12 07<br />cultura@comune.bovezzo.bs.it<p><strong>Sito Internet:</strong> <p>www.comune.bovezzo.bs.it<br /> Via Cesare Battisti 52, 25073 Bovezzo",10.234565,45.595402
"Castiglione delle Stiviere &dash; Banca del Tempo Zerolimiti","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Castiglione-Zerolimiti.jpg?resize=150%2C150",10.494410,45.397280
"Zanica &dash; Banca del Tempo di Zanica","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Zanica.jpg?resize=150%2C150",9.684140,45.640087
"Villa d&#8217;Adda &dash; Banca del Tempo Pervilla","<strong>Telefono: </strong> 333 461 38 18<br />bdtxv@tiscali.it<p><strong>Sito Internet:</strong> <p>www.comune.villadadda.bg.it/banca_del_tempo_pervilla<br /> Piazzale Avis Aido 4/b, nella sede delle Associazioni Don Carlo Gnocchi, 24030 Villa d&#8217;Adda",9.456377,45.717533
"Leffe &dash; Banca del Tempo Darsi Tempo","darsitempo@libero.it<p><strong>Sito Internet:</strong> <p>www.darsitempo.blogspot.it<br /> Via Locatelli 20, 24026 Leffe",9.887735,45.799174
"Stezzano &dash; Banca del Tempo di Stezzano","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Stezzano.jpg?resize=150%2C150",9.652280,45.651640
"Torre Boldone &dash; Banca del Tempo di Torre Boldone","bancadeltempo.torre@gmail.com<p><strong>Sito Internet:</strong> <p>www.comune.torreboldone.bg.it<p><br /> <p>24020 Torre Boldone",9.706620,45.716309
"Ponte San Pietro &dash; Banca del Tempo di Ponte San Pietro","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Ponte-San-Pietro.jpg?resize=150%2C150",9.589826,45.701703
"Palazzolo sull&#8217;Oglio &dash; Banca del Tempo Il Club","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Palazzolo.jpg?resize=150%2C150",9.883505,45.599785
"Arcene &dash; Banca del Tempo di Arcene","<strong>Telefono: </strong> 347 233 09 27<br />bdt.arcene@gmail.com<br /> Piazza del Donatore, c/o Centro Diurno La Madonnina, 24040 Arcene",9.613282,45.573472
"Bergamo &dash; Banca del Tempo Scambiatempo Redona","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Redona.jpg?resize=150%2C150",9.692341,45.710988
"Bergamo &dash; Banca del Tempo Longuelo","bdtlonguelo@gmail.com<br /> Via Mattioli12/A, c/o Centro Socioculturale, 24129 Bergamo",9.631776,45.693717
"Bergamo &dash; Banca del Tempo Bergamo Centro","bdt.bg.centro@gmail.com<br /> Via Borgo Palazzo 16, 24125 Bergamo",9.679341,45.698132
".Coordinamento delle Banche del Tempo di Bergamo e Provincia Officina Del Tempo","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Coordinamento-Bergamo-e-Provincia.jpg?resize=450%2C150\" />",9.690507,45.708139
"Pavia &dash; Banca del Tempo dei Borghi e delle Valli Pavesi","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Borghi-e-delle-Valli-Pavesi-.jpg?resize=150%2C150 ",9.161844,45.199503
"Montichiari &dash; Banca del Tempo Montichiari","<strong>Telefono: </strong> 335 748 96 86<p>La Banca del tempo di Montichiari<br /> 25018 Montichiari",10.392871,45.414839
"Olgiate Olona &dash; Banca del Tempo Varese Valle Olona","<strong>Telefono: </strong> 399 910 810<br />vania.sergio@libero.it<br /> 21057 Olgiate Olona",8.887610,45.633268
"Brescia &dash; Banca del Tempo Il Tempo Solidale","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Il-Tempo-Solidale-Brescia.jpg?resize=150%2C150Si incontrano gli interessati su appuntamento<br />",10.233013,45.581907
"Tradate &dash; Banca del Tempo Tempo e saperi","<strong>Telefono: </strong> 349 342 52 38<br />tempoesaperi.tradate@gmail.com<p><strong>Sito Internet:</strong> <p>www.tempoesaperi.blogspot.it<br /> Via Carlo de Simoni, c/o Palazzo del Comune, II piano, 21049 Tradate",8.905827,45.714008
"Varese &dash; Banca del Tempo Varese Montello","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150",8.816114,45.831676
"Luino &dash; Banca del Tempo Varese Luino","<strong>Telefono: </strong> 03 089 603 05 <p> rosariatorri@libero.it<br /> Viale delle Rimembranze 6, c/o Società Operaia Mutuo Soccorso, 21016 Luino",8.748774,45.998932
"Laveno Mombello &dash; Banca del Tempo Laveno Mombello","bdtlavenomombello@libero.it<br /> Piazza del Carroccio, 21014 Laveno Mombello",8.623815,45.889619
"Gallarate &dash; Associazione Banca del Tempo Gallarate","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/06/Logo-Besnate-1.jpg?resize=150%2C150 ",8.790570,45.659530
"Carnate &dash; Banca del Tempo Carnate","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150dalle ore 16:00 alle ore 18:00",9.378250,45.649258
"Melegnano &dash; Assiociazione Culturale Cascina Santa Brera","<strong>Telefono: </strong> 02 308 74 79<p> giuliana.piccolo@gmail.com<br /> Via Dezza 55/E, 20077 Melegnano",9.327834,45.358127
"Valmadrera &dash; Banca del Tempo di Valmadrera","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Valmadrera.jpg?resize=150%2C150Ti aspettiamo non mancare!!!</blockquote>",9.360401,45.846906
"Torno &dash; Banca del Tempo GiroGiroTempo","girogirotempo@virgilio.it<p><strong>Sito internet:</strong> <p>www.girogirotempo.it<br /> Via Roma 25, 22020 Torno",9.115223,45.856508
"Tavazzano &dash; Banca del Tempo di Tavazzano con Villavesco","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Tavazzano.jpg?resize=150%2C150dalle ore 21:00 alle ore 23:00",9.405620,45.329190
"Saronno &dash; Banca del Tempo di Saronno","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Saronno.jpg?resize=150%2C150</strong>",9.047043,45.626411
"Rozzano &dash; Banca del Tempo E….ROZZANO","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Rozzano.jpg?resize=150%2C150dalle ore 16:30 alle ore 18:00",9.158112,45.384420
"Rosate &dash; Banca del Tempo Qualamano","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Rosate.jpg?resize=150%2C150",9.017163,45.349877
"Zibido San Giacomo &dash; Banca del Tempo Il tempo non è denaro","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150",9.105983,45.360141
"Rho &dash; Banca del Tempo Rho","<strong>Telefono: </strong> 02 908 707 12<br />bancadeltempo.rho@gmail.com<br /> Via Meda 20, 20017 Rho",9.041432,45.526340
"Pero &dash; Banca del Tempo PeRhoLà…c&#8217;è","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150dalle ore 15:00 alle ore 18:00",9.083630,45.507716
"Olgiate Molgora &dash; Banca del Tempo Olgiate Molgora","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Olgiate-Molgora.jpg?resize=150%2C150",9.403070,45.728880
"Milano &dash; Banca del Tempo Comin","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Comin.jpg?resize=150%2C150",9.223560,45.497544
"Chiaravalle &dash; Banca del Tempo Milano Sud","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Milano-Sud.jpg?resize=150%2C150",9.239282,45.417647
"Milano &dash; Banca del Tempo Ora x Ora","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Ora-x-Ora-Milano-2.jpg?resize=150%2C150",9.078344,45.454141
"Milano &dash; Banca del Tempo 4 Corti","<strong>Telefono: </strong> 328 563 60 43<br />bdt4corti@gmail.com<p><strong>Sito internet:</strong> <p>www.bdt4corti.blogspot.it<br /> Via Anton Giulio Barrili 21, c/o Lab. Sociale, 20141 Milano",9.177585,45.434018
"Milano &dash; Banca del Tempo Passatempo","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150",9.224757,45.475053
"Melegnano &dash; Banca del Tempo Melegnano","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Melegnano.jpg?resize=150%2C150",9.320292,45.358200
"Inzago &dash; Banca del Tempo Tempo Idea","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Inzago.jpg?resize=150%2C150</strong>",9.483108,45.541634
"Ghedi &dash; Banca del Tempo Moka","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Moka.jpg?resize=150%2C150",10.266142,45.401523
"Cremona &dash; Banca del Tempo La Danza delle Ore","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Cremona-Danza-delle-ore.jpg?resize=150%2C150",10.032444,45.138435
"Como &dash; Banca del Tempo Il Pozzo dei Desideri","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Como-Pozzo-dei-desideri.jpg?resize=150%2C150",9.084335,45.802969
"Cusago &dash; Banca del Tempo di Cusago","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Cusago.jpg?resize=150%2C150",9.032563,45.448598
"Cernusco sul Naviglio &dash; Banca del Tempo Vivere il Tempo &dash; Auser","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Vivere-il-Tempo.jpg?resize=150%2C150dalle ore 16:30 alle ore 18:30",9.328275,45.527347
"Cassina De&#8217; Pecchi &dash; Banca del Tempo Cassina De&#8217; Pecchi","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150",9.364548,45.515238
"Caponago &dash; Banca del Tempo Caponago","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Caponago.jpg?resize=150%2C150Via S. Pellico 16, 20867 Caponago",9.383614,45.563396
"Vimercate &dash; Banca del Tempo 25esima ora","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Vimercate-25ma-Ora.jpg?resize=150%2C150",9.370640,45.612670
"Correzzana, Lesmo e Camparada &dash; Banca del Tempo Cronoteca","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Cronoteca2.jpg?resize=450%2C150\" />dalle 10:30 alle 11:30",9.307933,45.650236
"Buccinasco &dash; Banca del Tempo e dei Saperi","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Buccinasco.jpg?resize=150%2C150dalle ore 16:00 alle ore 18:00",9.108622,45.420838
"Bresso &dash; Banca del Tempo Solotempo Auser","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Bresso.jpg?resize=150%2C150",9.186757,45.536939
"Arese &dash; Banca del Tempo Arese","bdt.arese@libero.it<p><br /> <p>Via Resegone 14, 20020 Arese",9.036571,45.569958
".Coordinamento Lombardo Banche del Tempo","https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Coordinamento-Milano-e-Provincia-1.jpg?resize=450%2C150\" /> ",9.219414,45.490856
"Trento &dash; Banca del Tempo Gaia","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Trento-Gaia.jpg?resize=150%2C150",11.152745,46.069141
"Pozza di Fassa &dash; Banca del Temp Ladina","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150",11.684441,46.428529
"Levico Terme &dash; Banca del Tempo Selvadega","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150",11.318850,46.015190
"Predazzo &dash; Banca del Tempo Val di Fiemme","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150</strong>",11.602437,46.312589
"Bosentino &dash; Banca del Tempo Vigolana","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Vigolana.jpg?resize=150%2C150",11.222167,46.001361
"Sopramonte &dash; Banca del Tempo Bondone","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150",11.059987,46.070296
"Storo &dash; Banca del Tempo Il Chiese","https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150",10.576357,45.850515
"Bolzano &dash; Banca del Tempo Bolzano Gries-­San Quirino","https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Logo-Bolzano-1.jpg?resize=150%2C150 ",11.334201,46.503940
